,P.Value,deltaBeta,feature
cg08649068,1.75E-14,0.351386566,Body
cg06677151,1.75E-14,0.300747146,Body
cg01314391,1.73E-14,0.2603172,Body
cg08457178,1.72E-14,-0.049586711,3'UTR
cg06817455,1.72E-14,0.536294209,IGR
cg12687617,1.71E-14,0.583413982,IGR
cg27236973,1.71E-14,-0.426525579,TSS1500
cg25330264,1.70E-14,0.430255066,3'UTR
cg05301470,1.70E-14,0.629925183,IGR
cg18343437,1.69E-14,0.505450244,IGR
cg04258173,1.69E-14,0.152532292,Body
cg21629715,1.68E-14,0.235466045,3'UTR
cg06986263,1.67E-14,-0.30485934,IGR
cg00875989,1.67E-14,0.467622564,IGR
cg08491487,1.67E-14,0.470795162,Body
cg21840908,1.67E-14,0.313197863,Body
cg07658533,1.66E-14,-0.097301709,TSS200
cg11023456,1.66E-14,0.539012977,Body
cg03602280,1.65E-14,0.655628032,TSS200
cg12355172,1.64E-14,-0.364500957,TSS200
cg14516287,1.64E-14,-0.527660494,Body
cg05696153,1.63E-14,0.186259859,Body
cg25350986,1.63E-14,0.16795411,Body
cg10013501,1.62E-14,0.51578556,TSS1500
cg15074033,1.62E-14,0.421936666,IGR
cg03368634,1.62E-14,0.43438255,Body
cg20086219,1.61E-14,-0.251538435,IGR
cg25463742,1.61E-14,-0.631094069,5'UTR
cg00893348,1.59E-14,0.410205891,5'UTR
cg08099797,1.56E-14,-0.363065845,5'UTR
cg19618897,1.56E-14,-0.348994133,IGR
cg02902946,1.55E-14,-0.538102382,Body
cg09774649,1.54E-14,0.127388543,Body
cg04720330,1.51E-14,-0.2177756,3'UTR
cg14564076,1.50E-14,0.595759576,Body
cg13220457,1.50E-14,-0.086064698,Body
cg14340336,1.48E-14,-0.368690867,Body
cg03935116,1.46E-14,-0.328110844,5'UTR
cg16365445,1.46E-14,0.314275071,5'UTR
cg17298751,1.44E-14,0.483710185,Body
cg02459042,1.41E-14,0.611391475,Body
cg22491141,1.38E-14,0.470881384,IGR
cg27652490,1.38E-14,0.416909587,Body
cg21153898,1.38E-14,0.580043588,IGR
cg08182501,1.37E-14,0.460143298,IGR
cg16514513,1.37E-14,0.375540373,Body
cg24357849,1.37E-14,0.251220677,3'UTR
cg20559594,1.36E-14,0.447360205,IGR
cg12940269,1.35E-14,0.347566345,IGR
cg18581950,1.34E-14,0.542374117,TSS1500
cg14426510,1.34E-14,-0.076110863,TSS1500
cg05376374,1.34E-14,0.560289063,TSS200
cg03607117,1.33E-14,-0.056850451,TSS1500
cg06933574,1.32E-14,-0.273739805,TSS1500
cg05629774,1.30E-14,0.213880642,Body
cg17542346,1.29E-14,0.364090121,Body
cg01834614,1.29E-14,-0.237848616,TSS1500
cg13023623,1.25E-14,0.600192422,5'UTR
cg08278503,1.22E-14,0.178048335,Body
cg23484159,1.22E-14,0.37825785,3'UTR
cg00685614,1.22E-14,-0.556953252,IGR
cg10982443,1.21E-14,0.601124743,5'UTR
cg03099728,1.21E-14,0.372186641,Body
cg14614094,1.20E-14,0.37400513,TSS1500
cg09414863,1.20E-14,0.354315418,IGR
cg11358741,1.19E-14,-0.403019322,IGR
cg26781303,1.19E-14,-0.184429082,IGR
cg07687354,1.18E-14,-0.381300162,Body
cg12740337,1.18E-14,0.365294714,Body
cg16087541,1.17E-14,0.283108648,TSS1500
cg11818853,1.16E-14,0.276858607,Body
cg26950953,1.14E-14,-0.453975874,Body
cg09537792,1.14E-14,0.220936982,5'UTR
cg05195566,1.13E-14,0.296308779,TSS1500
cg01226742,1.11E-14,-0.411444757,3'UTR
cg10999410,1.11E-14,0.082056586,Body
cg07824888,1.11E-14,0.180986014,Body
cg24302529,1.10E-14,0.418452871,Body
cg26216876,1.10E-14,-0.412414706,Body
cg14212360,1.09E-14,0.317051824,Body
cg25876656,1.09E-14,-0.107211737,TSS200
cg13466383,1.09E-14,-0.332465083,5'UTR
cg07027430,1.09E-14,0.517772859,Body
cg23290121,1.09E-14,0.410512743,IGR
cg14156751,1.07E-14,0.547563499,IGR
cg14333454,1.07E-14,-0.519461578,TSS1500
cg18650367,1.06E-14,-0.270230842,IGR
cg18969798,1.06E-14,0.410731064,Body
cg18054674,1.06E-14,0.384228379,Body
cg10351808,1.04E-14,-0.11406718,Body
cg18544365,1.02E-14,0.414832713,TSS200
cg23675930,1.01E-14,0.416265405,Body
cg21587372,9.97E-15,-0.192351964,5'UTR
cg08550839,9.83E-15,-0.179292271,Body
cg18034637,9.73E-15,0.467248133,Body
cg13936668,9.57E-15,-0.302751909,IGR
cg06389574,9.55E-15,0.337670145,Body
cg04173688,9.39E-15,0.143437941,Body
cg15617814,9.33E-15,0.639529576,TSS1500
cg03742808,9.31E-15,-0.314817881,Body
cg07966265,9.31E-15,0.224899773,Body
cg03880323,9.29E-15,-0.055389541,IGR
cg16562724,9.20E-15,-0.318741641,TSS1500
cg27546977,9.13E-15,0.641539581,IGR
cg22540135,9.10E-15,-0.554892715,IGR
cg25738279,9.09E-15,-0.1773721,IGR
cg17007640,9.06E-15,0.517236601,Body
cg10807643,8.96E-15,0.219646468,TSS200
cg26753608,8.85E-15,0.418114426,Body
cg12232308,8.84E-15,-0.08457824,3'UTR
cg23545793,8.80E-15,0.275890947,Body
cg17389928,8.78E-15,0.416906029,Body
cg20435896,8.77E-15,-0.452417739,TSS1500
cg26841277,8.76E-15,0.242068356,Body
cg21932231,8.72E-15,0.381737432,Body
cg13301014,8.64E-15,-0.177820508,TSS1500
cg01275887,8.38E-15,0.456792713,Body
cg26385126,8.29E-15,0.483765986,Body
cg03900143,8.10E-15,0.662164412,Body
cg12427941,8.06E-15,0.264454663,5'UTR
cg10491628,8.01E-15,0.52836914,IGR
cg04070176,7.97E-15,-0.071538885,Body
cg04656015,7.95E-15,0.386462742,Body
cg14615192,7.86E-15,0.277085709,Body
cg02924487,7.79E-15,0.405248295,Body
cg00379720,7.78E-15,0.590981782,IGR
cg23029292,7.77E-15,0.290766241,IGR
cg23666945,7.69E-15,0.491758372,Body
cg02948884,7.65E-15,-0.094246171,Body
cg14781826,7.64E-15,0.44407558,3'UTR
cg09923456,7.62E-15,0.329035539,3'UTR
cg03936449,7.61E-15,0.461176767,IGR
cg16990168,7.57E-15,0.527361296,5'UTR
cg27622506,7.54E-15,-0.156892978,TSS1500
cg14963724,7.50E-15,-0.589632005,TSS1500
cg10133100,7.47E-15,0.440301025,5'UTR
cg09295050,7.31E-15,0.459680438,Body
cg21204530,7.26E-15,0.467574307,Body
cg13440652,7.24E-15,0.411221218,IGR
cg19802639,7.22E-15,0.280112748,Body
cg07006718,7.22E-15,0.35933228,Body
cg10861333,7.15E-15,0.297709165,Body
cg05652445,7.12E-15,0.28218742,IGR
cg22840650,7.05E-15,0.213785388,Body
cg06562888,7.00E-15,0.442859374,Body
cg01452847,6.99E-15,0.634081891,TSS1500
cg02564259,6.88E-15,0.432453434,3'UTR
cg12141030,6.84E-15,-0.089824075,TSS1500
cg15455864,6.77E-15,0.553177338,Body
cg17457014,6.77E-15,0.551084448,Body
cg07555397,6.76E-15,0.393239829,Body
cg08949974,6.72E-15,-0.593269193,TSS1500
cg15241316,6.71E-15,0.254206735,Body
cg22599822,6.57E-15,0.419494251,5'UTR
cg17870553,6.48E-15,0.21293698,5'UTR
cg03444940,6.48E-15,0.255717509,Body
cg08293531,6.44E-15,0.167574216,Body
ch.15.64945366R,6.42E-15,-0.09424034,IGR
cg02425416,6.40E-15,-0.314868147,Body
cg25082487,6.34E-15,-0.129010864,IGR
cg13073589,6.30E-15,0.248715783,Body
cg11807280,6.24E-15,-0.529903957,IGR
cg14131536,6.23E-15,0.379844205,Body
cg08112356,6.16E-15,0.41702322,5'UTR
cg17945323,6.16E-15,-0.584408828,Body
cg03827835,6.10E-15,0.563084323,IGR
cg08139247,6.09E-15,0.370420784,1stExon
cg16503628,5.99E-15,-0.591454017,Body
cg13425960,5.99E-15,0.443364023,3'UTR
cg04884579,5.93E-15,0.341255643,3'UTR
cg20544808,5.88E-15,-0.482235506,IGR
cg26561187,5.85E-15,0.374575628,IGR
cg04268405,5.84E-15,0.431664809,TSS1500
cg05859264,5.83E-15,-0.48071498,TSS1500
cg15390816,5.72E-15,0.191586359,Body
cg25718223,5.63E-15,0.335441782,Body
cg19515108,5.60E-15,0.411095663,IGR
cg19400926,5.50E-15,-0.332986333,Body
cg17408527,5.50E-15,0.499870697,TSS200
cg12199321,5.48E-15,0.24841499,Body
cg26411441,5.42E-15,-0.457971712,3'UTR
cg01929855,5.36E-15,0.078150514,Body
cg02805814,5.27E-15,0.328589601,IGR
cg04243368,5.12E-15,-0.193812192,IGR
cg00158122,5.07E-15,0.379976277,IGR
cg18038269,5.06E-15,0.15591135,Body
cg06877024,5.05E-15,0.46472734,IGR
cg14829883,4.98E-15,0.292535784,3'UTR
cg02704949,4.97E-15,-0.434586004,5'UTR
cg06424065,4.97E-15,0.609687199,IGR
cg10251446,4.94E-15,0.44569728,IGR
cg10976318,4.94E-15,-0.453840141,Body
cg08152546,4.91E-15,0.502811505,IGR
cg04286194,4.89E-15,0.501709787,IGR
cg16808481,4.86E-15,0.261829269,TSS1500
cg06717850,4.86E-15,0.490255812,IGR
cg26822097,4.85E-15,0.453113511,TSS1500
cg06383163,4.84E-15,0.422824017,TSS200
cg03171770,4.81E-15,0.587855703,IGR
cg12355110,4.77E-15,0.450660877,IGR
cg00919591,4.76E-15,-0.419082995,1stExon
cg05618934,4.74E-15,0.532332465,IGR
cg20016631,4.70E-15,0.485778614,5'UTR
cg20749059,4.69E-15,-0.380462857,5'UTR
cg07727295,4.67E-15,0.275028093,3'UTR
cg04003871,4.61E-15,0.529586415,IGR
cg12798338,4.61E-15,-0.525451055,Body
cg13657785,4.59E-15,0.28275884,TSS1500
cg12623302,4.56E-15,0.424090076,TSS200
cg13485320,4.51E-15,-0.127292029,Body
cg11663376,4.48E-15,0.584130516,IGR
cg25513433,4.46E-15,-0.396375267,TSS1500
cg15576517,4.38E-15,0.328012504,Body
cg15209808,4.32E-15,0.516698344,TSS200
cg10934870,4.26E-15,0.401306719,Body
cg04460185,4.24E-15,-0.071857676,TSS1500
cg08668790,4.22E-15,0.617222726,TSS200
cg15450098,4.21E-15,0.318311332,Body
cg01704957,4.18E-15,-0.117717453,TSS1500
cg07915921,4.12E-15,0.628659128,IGR
cg09015905,4.09E-15,0.340995031,IGR
cg05573550,4.09E-15,0.484371711,Body
cg04956511,4.07E-15,-0.438091386,Body
cg11574055,4.05E-15,0.152713413,Body
cg05654925,4.03E-15,-0.271037552,Body
cg03983715,4.00E-15,0.202370752,Body
cg12178669,3.95E-15,-0.242706187,5'UTR
cg00328729,3.93E-15,0.432870542,Body
cg01559787,3.93E-15,0.200708544,Body
cg01574231,3.79E-15,-0.151299183,TSS200
cg25552317,3.73E-15,0.280390587,IGR
cg13780614,3.70E-15,0.295354956,Body
cg14609729,3.69E-15,-0.095578549,TSS1500
cg16881676,3.65E-15,-0.144837513,Body
cg14202477,3.64E-15,-0.408379119,1stExon
cg17780246,3.64E-15,0.466823176,Body
cg05880829,3.64E-15,0.498478573,Body
cg11552981,3.60E-15,0.192644412,Body
cg08549335,3.59E-15,-0.456962393,Body
cg22871253,3.56E-15,-0.381811857,Body
cg27158867,3.55E-15,-0.212687508,5'UTR
cg11693848,3.54E-15,0.380018075,Body
cg22579950,3.49E-15,-0.125332122,Body
cg07815836,3.47E-15,0.395687342,Body
cg24175649,3.46E-15,-0.245520522,Body
cg09681300,3.46E-15,0.287017834,Body
cg14536425,3.45E-15,0.348211602,5'UTR
cg00341606,3.45E-15,-0.055610094,TSS200
cg19007908,3.45E-15,0.280330877,Body
cg03934354,3.42E-15,0.42070433,Body
cg04693014,3.40E-15,0.271511766,IGR
cg02174232,3.39E-15,-0.143890644,Body
cg09415386,3.37E-15,0.178419063,3'UTR
cg15026998,3.35E-15,-0.439034722,TSS1500
cg14299115,3.33E-15,0.49027679,IGR
cg03585912,3.28E-15,0.573261179,IGR
cg07766263,3.20E-15,0.508044427,5'UTR
cg16119483,3.15E-15,0.278944022,Body
cg08885306,3.14E-15,0.315942155,IGR
ch.6.3179791F,3.14E-15,-0.070501897,Body
cg23320499,3.13E-15,0.528828506,Body
cg19558628,3.12E-15,-0.166578344,Body
cg01925738,3.11E-15,0.563281703,1stExon
cg26753302,3.07E-15,-0.525779439,TSS200
cg02846431,3.04E-15,0.274946187,Body
cg25021051,3.04E-15,-0.135135078,Body
cg05131488,3.04E-15,0.518782372,TSS1500
cg05350879,2.98E-15,0.557499895,TSS1500
cg00904548,2.96E-15,0.320227239,3'UTR
cg16516248,2.96E-15,0.517156111,TSS1500
cg01295392,2.96E-15,0.54286136,1stExon
cg00764796,2.95E-15,-0.566715846,Body
cg11053632,2.88E-15,0.455673577,Body
cg15387123,2.84E-15,-0.223581903,TSS200
cg00370229,2.82E-15,0.587540839,IGR
cg20133191,2.81E-15,0.119300014,Body
cg26349358,2.80E-15,0.44843336,IGR
cg23200818,2.77E-15,0.342434366,IGR
cg04502852,2.75E-15,0.47091363,IGR
cg10715092,2.71E-15,0.676264406,TSS1500
cg27640348,2.67E-15,0.372008781,Body
cg04373487,2.62E-15,0.392485209,Body
cg25105745,2.61E-15,0.51235501,TSS1500
cg14330078,2.60E-15,0.265917603,TSS200
cg23630593,2.59E-15,0.285571709,Body
cg23877608,2.58E-15,-0.409808967,TSS200
cg25564800,2.52E-15,-0.301984967,TSS1500
cg14442061,2.52E-15,-0.082794666,TSS200
ch.1.30340112R,2.51E-15,-0.091167518,IGR
cg23070380,2.38E-15,0.466229255,IGR
cg08149422,2.34E-15,-0.052909082,Body
cg08345465,2.33E-15,0.178769062,Body
cg13863617,2.30E-15,0.486258289,5'UTR
cg09040896,2.29E-15,0.257169416,3'UTR
cg17489939,2.28E-15,0.48175643,1stExon
cg04550950,2.27E-15,0.297600106,5'UTR
cg09230154,2.24E-15,0.322570764,Body
cg23335414,2.24E-15,-0.13684217,Body
cg20208979,2.23E-15,0.458047575,IGR
cg11823511,2.22E-15,0.612358821,TSS1500
cg26963632,2.22E-15,-0.352482112,IGR
cg09992746,2.20E-15,0.478740892,IGR
cg08019058,2.18E-15,0.321569723,IGR
cg24020152,2.18E-15,0.559515622,Body
cg27313044,2.18E-15,0.410445096,IGR
cg26203839,2.17E-15,0.510706369,Body
cg12554290,2.13E-15,0.20479038,3'UTR
cg06927327,2.11E-15,0.24404009,Body
cg14756265,2.09E-15,0.272763551,Body
cg06250720,2.07E-15,-0.590442329,IGR
cg01660934,2.05E-15,-0.550610096,Body
cg06708634,2.03E-15,0.520705376,Body
cg26253134,2.03E-15,-0.2785644,Body
cg26648094,2.02E-15,0.354481483,Body
cg14495916,2.01E-15,0.458563487,5'UTR
cg03983270,2.00E-15,0.245758824,Body
cg17198308,2.00E-15,0.436287744,1stExon
cg16616467,1.97E-15,0.537431502,Body
cg16500874,1.92E-15,0.354278049,Body
cg16209444,1.91E-15,0.416130656,5'UTR
cg23954880,1.89E-15,0.306827348,Body
cg08875705,1.89E-15,0.594845983,TSS200
cg00300672,1.89E-15,-0.57478374,Body
cg06987944,1.86E-15,0.375127602,Body
cg03891318,1.85E-15,-0.428990767,5'UTR
cg08032924,1.85E-15,0.488848328,TSS1500
cg07532089,1.82E-15,0.134632941,TSS1500
cg06613392,1.81E-15,0.46614109,IGR
cg16664405,1.79E-15,0.638792872,IGR
cg19798735,1.78E-15,0.375425421,Body
cg16580547,1.78E-15,0.242887073,Body
cg14239592,1.76E-15,0.325787719,Body
cg20080845,1.76E-15,0.246446148,Body
cg01011769,1.74E-15,-0.446262552,5'UTR
cg17355042,1.74E-15,0.350081893,3'UTR
cg13346441,1.74E-15,0.360132977,Body
cg18265162,1.71E-15,-0.281610824,TSS200
cg21387147,1.71E-15,0.276193042,TSS1500
cg12970171,1.70E-15,-0.436163433,IGR
cg06895137,1.70E-15,0.369068869,Body
cg00364339,1.68E-15,0.398306215,Body
cg12304520,1.67E-15,0.5403633,Body
cg00543474,1.62E-15,-0.480653349,Body
cg18651870,1.62E-15,0.56679456,TSS200
cg18335796,1.58E-15,0.512695984,Body
cg22156456,1.56E-15,-0.195610574,TSS1500
cg01959541,1.54E-15,-0.06079881,IGR
cg10754794,1.54E-15,0.444970862,Body
cg03871102,1.53E-15,0.359187194,IGR
cg00563824,1.49E-15,0.603560343,IGR
cg06485521,1.47E-15,0.314337331,TSS200
cg07237653,1.47E-15,0.040686542,Body
cg09372546,1.45E-15,-0.256379629,TSS1500
cg24004532,1.43E-15,-0.167808993,Body
cg25136495,1.42E-15,0.574468887,Body
cg02312593,1.41E-15,0.488647669,1stExon
cg11234637,1.41E-15,0.287364057,TSS200
cg16458866,1.41E-15,0.586669818,IGR
cg10418626,1.40E-15,0.530302492,Body
cg27645228,1.40E-15,0.372778543,Body
cg13978601,1.36E-15,0.304964897,Body
cg12067687,1.34E-15,-0.106262361,Body
cg04601228,1.33E-15,0.483877314,Body
cg11671688,1.33E-15,0.571772156,1stExon
cg18788664,1.32E-15,0.465107086,IGR
cg18899777,1.32E-15,-0.472869719,Body
cg21950166,1.31E-15,-0.506951916,TSS1500
cg07997634,1.30E-15,0.453876508,Body
cg02657401,1.29E-15,0.660578876,IGR
cg04503570,1.29E-15,0.405215536,Body
cg23097961,1.29E-15,-0.372938022,TSS200
cg03322057,1.28E-15,0.639012947,Body
cg26672952,1.28E-15,0.531686383,IGR
cg25817430,1.28E-15,0.425040085,IGR
cg20773751,1.28E-15,0.353192479,Body
cg05697849,1.27E-15,0.580446499,1stExon
cg01271982,1.26E-15,0.157713838,5'UTR
cg10136560,1.25E-15,0.611046206,Body
cg07578070,1.24E-15,-0.052688169,TSS1500
cg09812990,1.22E-15,-0.475135545,IGR
cg02595770,1.20E-15,0.025174922,Body
cg20271620,1.19E-15,0.100685647,Body
cg06999856,1.19E-15,0.279221079,IGR
cg00664697,1.17E-15,-0.546057185,IGR
cg10208301,1.16E-15,0.264870948,Body
cg10778841,1.15E-15,0.547656901,1stExon
cg26287741,1.14E-15,0.448789588,Body
cg01550810,1.11E-15,0.421024122,IGR
cg23090870,1.11E-15,-0.332495288,Body
cg21299491,1.08E-15,0.417692721,Body
cg04738965,1.05E-15,0.599001617,1stExon
cg17889586,1.05E-15,0.385630135,Body
cg07537821,1.04E-15,-0.280215363,Body
cg01439488,1.04E-15,-0.0845688,1stExon
cg18515872,1.02E-15,-0.5574394,Body
cg17854440,1.01E-15,0.499899428,1stExon
cg16227072,1.01E-15,0.319248932,3'UTR
cg22588546,9.96E-16,0.461180653,Body
cg13740135,9.93E-16,0.461749563,Body
ch.13.76200044F,9.90E-16,-0.091160443,IGR
cg15471388,9.84E-16,-0.631064967,IGR
cg23082657,9.75E-16,0.428276528,3'UTR
cg26131286,9.74E-16,0.586365294,IGR
cg19688203,9.69E-16,0.310668499,IGR
cg23534345,9.62E-16,0.25607948,Body
cg06183338,9.60E-16,0.611223015,Body
cg05661282,9.59E-16,0.618225772,5'UTR
cg17284236,9.57E-16,0.201772114,Body
cg20048045,9.56E-16,0.41723082,3'UTR
cg26291600,9.53E-16,0.506889785,Body
cg05756029,9.49E-16,0.506417031,Body
cg01530482,9.47E-16,0.348731147,Body
cg11865119,9.47E-16,-0.55780202,TSS200
cg07873848,9.43E-16,-0.346116117,TSS1500
cg18956547,9.32E-16,-0.436026622,TSS200
cg04128065,9.31E-16,0.341251588,Body
cg04074908,9.05E-16,0.347588668,5'UTR
cg10546562,8.90E-16,0.138226879,Body
cg03314644,8.81E-16,-0.032787258,IGR
cg21054521,8.80E-16,0.526446751,IGR
cg22796363,8.75E-16,0.577104128,Body
cg11956866,8.71E-16,0.483441849,Body
cg22076160,8.58E-16,-0.376342215,5'UTR
cg17935811,8.54E-16,-0.113068561,TSS1500
cg09204108,8.47E-16,0.231203459,Body
cg26539023,8.14E-16,-0.258300087,TSS1500
cg20723129,8.12E-16,0.563889472,IGR
cg19676181,8.00E-16,0.394308991,IGR
cg14792548,7.92E-16,0.486931683,Body
cg19717586,7.91E-16,0.651846585,1stExon
cg12840248,7.81E-16,-0.248517122,1stExon
cg00806644,7.75E-16,-0.685360082,IGR
cg16397638,7.71E-16,-0.401958939,Body
cg07240689,7.67E-16,0.44255708,3'UTR
cg19165390,7.66E-16,0.488133267,IGR
cg10530889,7.64E-16,0.338339054,IGR
cg02262727,7.63E-16,0.134223218,Body
cg06594404,7.53E-16,0.579301129,IGR
cg07132223,7.49E-16,0.332682964,3'UTR
cg01561869,7.46E-16,0.485189339,Body
cg01301117,7.40E-16,0.30555749,Body
cg02291164,7.32E-16,-0.537238506,IGR
cg13806095,7.30E-16,-0.199122281,TSS1500
cg18020480,7.29E-16,0.262850634,5'UTR
cg26690592,7.17E-16,-0.143488026,5'UTR
cg22559742,7.15E-16,0.280785455,IGR
cg01295399,7.15E-16,0.386468289,1stExon
cg02537838,7.13E-16,-0.512848415,TSS200
cg19206146,7.00E-16,0.663507329,IGR
cg26026748,6.99E-16,-0.434982668,Body
cg19174643,6.93E-16,-0.537964755,IGR
cg06740950,6.92E-16,0.333253124,Body
cg13985132,6.80E-16,0.236674216,Body
cg09439754,6.80E-16,0.5125109,Body
ch.6.44639052F,6.78E-16,-0.100227219,IGR
cg03822198,6.75E-16,-0.530880994,5'UTR
cg22517388,6.69E-16,0.342384962,TSS200
cg02131853,6.64E-16,-0.5902485,TSS1500
cg09347582,6.57E-16,0.128715243,Body
cg17912835,6.53E-16,0.572461556,IGR
cg13482326,6.39E-16,0.278901029,Body
cg00575769,6.35E-16,0.251274973,Body
cg25155774,6.26E-16,-0.244555482,5'UTR
ch.20.46106799F,6.14E-16,-0.085976302,IGR
cg02134976,6.03E-16,-0.372639719,TSS200
cg10406264,5.98E-16,0.329601688,Body
cg00598429,5.91E-16,-0.288727884,5'UTR
cg08095452,5.89E-16,0.423102148,Body
cg01595505,5.83E-16,0.396719448,Body
cg04910970,5.80E-16,0.470847043,TSS1500
cg16202734,5.72E-16,0.388825322,Body
cg23283423,5.70E-16,0.615849025,Body
cg13852093,5.68E-16,0.319239729,Body
cg11615029,5.67E-16,0.3826854,Body
cg15839431,5.66E-16,0.499236384,TSS200
cg02068923,5.65E-16,0.410732835,IGR
cg18921306,5.50E-16,0.359769717,Body
cg13781718,5.49E-16,0.230958087,Body
cg26695257,5.46E-16,0.342018823,IGR
cg00626312,5.40E-16,0.468950822,IGR
cg20151221,5.35E-16,0.564276663,IGR
cg27535380,5.21E-16,0.35381828,Body
cg08469255,5.17E-16,-0.499414616,TSS1500
cg24621437,5.14E-16,0.525733396,TSS1500
cg10568066,5.08E-16,0.367954184,Body
cg10034176,5.08E-16,0.50752372,5'UTR
cg23910340,5.05E-16,0.396388694,IGR
cg26891211,4.99E-16,-0.577520424,IGR
cg22872857,4.98E-16,0.469470265,Body
cg22633280,4.88E-16,0.459767513,IGR
cg09578475,4.80E-16,0.679229316,TSS200
cg01624229,4.76E-16,0.502155051,Body
cg14145667,4.75E-16,-0.577070574,Body
cg04671526,4.75E-16,0.12552742,Body
cg19523667,4.72E-16,0.363797998,TSS200
cg20410114,4.71E-16,-0.454739538,IGR
cg08028295,4.64E-16,-0.171248176,TSS1500
cg09069446,4.61E-16,0.228562438,Body
cg21366602,4.49E-16,0.267108535,1stExon
cg04879750,4.48E-16,0.341082929,IGR
cg13441891,4.47E-16,-0.536258036,5'UTR
cg09703679,4.46E-16,0.494968791,IGR
cg03115444,4.25E-16,0.58746372,Body
cg00714115,4.23E-16,0.187139513,IGR
cg12907598,4.23E-16,0.404887696,Body
cg05483776,4.23E-16,0.413351732,IGR
cg02841692,4.06E-16,0.509224085,IGR
cg09457490,4.05E-16,0.201399849,5'UTR
cg06926314,3.97E-16,0.306647931,3'UTR
cg21683069,3.94E-16,0.503600321,IGR
cg20614081,3.93E-16,0.231220984,Body
cg15504666,3.89E-16,0.246947919,Body
cg12765567,3.87E-16,-0.344996955,IGR
cg19339179,3.87E-16,0.469465815,Body
cg16391955,3.85E-16,0.624224862,IGR
cg22465516,3.76E-16,-0.180687713,Body
cg03848065,3.72E-16,0.442318519,IGR
cg14059665,3.66E-16,0.238724305,Body
cg01955533,3.66E-16,-0.537025849,5'UTR
cg19814981,3.62E-16,0.578998037,IGR
cg03932201,3.62E-16,0.253496365,Body
cg22843797,3.57E-16,-0.281700676,TSS1500
cg19690984,3.51E-16,0.620623113,IGR
cg14598213,3.50E-16,-0.299184028,Body
cg14856606,3.49E-16,-0.557310176,TSS200
cg20288565,3.49E-16,-0.447472849,5'UTR
cg07714812,3.45E-16,0.32847047,Body
cg17277615,3.43E-16,0.460126262,Body
cg09304381,3.41E-16,0.403491371,Body
cg14345012,3.36E-16,0.459285305,TSS1500
cg08395748,3.24E-16,0.342694715,5'UTR
cg17127702,3.21E-16,-0.277832505,Body
cg09797337,3.20E-16,0.545529809,IGR
cg00937681,3.19E-16,0.370074919,IGR
cg04918708,3.18E-16,0.370073853,5'UTR
cg01544903,3.18E-16,0.642462749,IGR
cg06357685,3.11E-16,0.469295012,Body
cg16977872,3.10E-16,-0.07940997,TSS1500
cg23529390,3.05E-16,-0.137758597,5'UTR
cg08342886,2.97E-16,-0.056553139,TSS1500
cg09706133,2.95E-16,-0.319111045,Body
cg14260530,2.91E-16,0.405173213,TSS1500
cg25928447,2.90E-16,-0.370461622,Body
cg00280812,2.86E-16,-0.521136111,TSS200
cg20099806,2.85E-16,-0.387678434,5'UTR
cg14675881,2.84E-16,-0.554949014,IGR
cg01158469,2.77E-16,0.265416827,Body
ch.4.194519R,2.75E-16,-0.093571837,IGR
cg10503655,2.74E-16,-0.228826305,IGR
cg00363813,2.72E-16,0.41065361,1stExon
cg25690589,2.71E-16,0.428268099,IGR
cg24613080,2.66E-16,0.564348873,TSS1500
cg05923226,2.63E-16,0.499444308,TSS200
ch.16.83989841F,2.51E-16,-0.077033786,IGR
cg03402459,2.47E-16,0.472030382,IGR
cg11408395,2.42E-16,0.579183185,Body
cg02005873,2.42E-16,0.567614119,IGR
cg20320656,2.41E-16,-0.412155232,Body
cg05711235,2.41E-16,0.506866603,IGR
cg12503394,2.38E-16,-0.399493174,TSS200
cg12778065,2.36E-16,0.142611767,Body
cg19209689,2.32E-16,0.607453445,Body
cg22270027,2.27E-16,0.361582841,IGR
cg08996445,2.21E-16,0.373639204,Body
cg18404706,2.14E-16,0.630713565,Body
cg15584989,2.13E-16,0.385966419,Body
cg26790247,2.13E-16,0.592279511,Body
cg19336198,2.10E-16,0.408409545,Body
cg07359379,2.10E-16,0.414710828,Body
cg15139163,2.09E-16,0.565613674,Body
cg22626579,2.09E-16,0.351367354,5'UTR
cg11300809,2.07E-16,-0.398221647,TSS1500
cg05957190,2.06E-16,0.413264839,Body
cg18542688,2.01E-16,0.450592151,IGR
cg03391464,2.01E-16,-0.241576685,Body
cg13826452,1.99E-16,0.5611551,IGR
cg24619895,1.99E-16,0.373844603,IGR
cg16112766,1.97E-16,0.392753524,5'UTR
ch.9.109447758R,1.96E-16,-0.081031559,IGR
cg10364040,1.95E-16,0.594601446,TSS1500
cg13448468,1.90E-16,0.408009268,Body
cg00766964,1.89E-16,0.520818748,IGR
cg07381930,1.88E-16,-0.362431153,TSS1500
cg27363141,1.85E-16,0.115320031,Body
cg04681489,1.84E-16,-0.610373,IGR
cg11742898,1.84E-16,0.271250422,TSS1500
ch.3.741789F,1.84E-16,-0.068126736,Body
cg12865252,1.84E-16,0.265946949,Body
cg20208394,1.82E-16,0.424346452,Body
cg20499290,1.81E-16,0.446820451,IGR
cg07766743,1.81E-16,0.620497575,TSS1500
cg02452586,1.76E-16,0.264475742,Body
cg26433554,1.73E-16,0.33764797,Body
cg13561879,1.71E-16,0.585130422,TSS1500
