cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
MI-1	185987	BRD-K64497429	33	probe	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	InterBioScreen Ltd.	STOCK3S-35137	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12
apicidin	61097	BRD-K64606589	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Fermentek Ltd	Fermentek-AC001	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O
BRD-K64610608	438776	BRD-K64610608	33	probe		product of diversity oriented synthesis; screening hit	Broad Institute of MIT and Harvard		COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO
tretinoin	23151	BRD-K64634304	130	FDA	RARA;RARB;RARG	agonist of retinoid acid receptors	Sigma-Aldrich;Sigma-Aldrich	R2625;R2625-50MG	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
Ko-143	418172	BRD-K64642496	130	probe	ABCG2	inhibitor of breast cancer resistance protein multidrug transporter (BCRP)	Sigma-Aldrich	K2144	COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O
TG-100-115	606470	BRD-K64785675	66	clinical	PIK3CD;PIK3CG	inhibitor of PI3K catalytic subunits delta and gamma	Selleck	S1352	Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1
PHA-793887	640007	BRD-K64800655	66	clinical	CDK1;CDK2;CDK4;CDK5;CDK7;CDK9	inhibitor of cyclin-dependent kinases	Selleck	S1487	CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
BI-2536	347813	BRD-K64890080	33	clinical	PLK1	inhibitor of polo-like kinase 1 (PLK1)	Selleck	S1109	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
semagacestat	660341	BRD-K65592642	66	clinical	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Selleck	S1594	CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O
AZD1480	660306	BRD-K65928735	66	clinical	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	Selleck	S2162	C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c1ncc(F)cn1
afatinib	606135	BRD-K66175015	66	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1011	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
KH-CB19	660085	BRD-K66430217	17	probe	CLK1;CLK4	inhibitor of CDC2-like kinases 1 and 4	Tocris Bioscience	4262	CCOC(=O)c1c(C(=CN)C#N)c2ccc(Cl)c(Cl)c2n1C
BRD-K66453893	387472	BRD-K66453893	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
BRD-K66532283	376693	BRD-K66532283	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1
pifithrin-alpha	50747	BRD-K66874953	230	probe		inhibitor of p53-dependent signaling	Cayman	13326	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N
Compound 23 citrate	417451	BRD-K67112618	33	probe		analog of natural product cortistatin	Harvard University		CN(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H]4CC=C(c5ccc6cnccc6c5)[C@@]4(C)CC[C@H]23)C1
SB-431542	50753	BRD-K67298865	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S1067	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
KU-0063794	606363	BRD-K67566344	66	probe	MTOR	inhibitor of mTOR	Selleck	S1226	COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
GDC-0879	606248	BRD-K67578145	66	probe	BRAF	inhibitor of BRAF	Selleck	S1104	OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1
pevonedistat	411809	BRD-K67844266	37	clinical	NAE1	inhibitor of Nedd-8 activating enzyme	WuXi AppTec	TH02333-012	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
PI-103	411742	BRD-K67868012	37	probe	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	"inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K"	Tocris Bioscience	2930	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
MK-2206	377381	BRD-K68065987	33	clinical	AKT1	inhibitor of AKT1	Selleck	S1078	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
NSC95397	50715	BRD-K68143200	33	probe	CDC25A;CDC25B;CDC25C	inhibitor of cell division cycle 25 phosphatase (CDC25)	Sigma-Aldrich	N1786	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
BRD8958	418163	BRD-K68548958	66	probe	EP300	inhibitor of E1A binding protein p300	Princeton BioMolecular Research	OSSK_701387	CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
alvocidib	687720	BRD-K68682020	66	clinical	CDK1;CDK2;CDK4;CDK6	inhibitor of cyclin-dependent kinases	Selleck	S1230	CN1CC[C@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl
tacrolimus	50737	BRD-K69608737	74	FDA	PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2	inhibitor of calcineurin	Selleck	S5003	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
ISOX	632907	BRD-K69840642	33	probe	HDAC6	inhibitor of HDAC6	Axon Medchem;Axon Medchem	Axon 1645;1645	CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO
AZD8055	609639	BRD-K69932463	66	clinical	MTOR	inhibitor of mTOR	Selleck	S1555	COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
CIL55A	609061	BRD-K69982010	80	probe		screening hit	Columbia University		CN(C)CCNC(=O)c1cc2CSc3ccc(Cl)cc3-c2s1
ibrutinib	660994	BRD-K70301465	66	clinical	BTK	inhibitor of Bruton's tyrosine kinase	Selleck	S2680	Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C
erlotinib	52928	BRD-K70401845	66	FDA	EGFR;ERBB2	inhibitor of EGFR and HER2	Selleck	S1023	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
ML312	434195	BRD-K70809902	66	probe	SCARB1	"inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake"	Broad Institute of MIT and Harvard		CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(=O)(=O)c3ccc(Cl)cc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
masitinib	606143	BRD-K71035033	66	clinical	KIT;PDGFRA;PDGFRB	"inhibitor of c-KIT, PDGFRA, and PDGFRB"	Selleck	S1064	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1
SNX-2112	362338	BRD-K71281111	37	probe	HSP90AA1;HSP90B1	inhibitor of HSP90alpha and HSP90beta	Broad Institute of MIT and Harvard		CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
KPT185	660935	BRD-K71467466	66	probe	XPO1	inhibitor of exportin 1	Karyopharm Therapeutics	KPT-185-004	COc1cc(cc(c1)C(F)(F)F)-c1ncn(\C=C/C(=O)OC(C)C)n1
Ch-55	660137	BRD-K71487808	66	probe	RARA;RARB;RARG	agonist of retinoid acid receptors	Axon Medchem	1241	CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)\C=C\c1ccc(cc1)C(O)=O
N9-isopropylolomoucine	45093	BRD-K71726959	400	probe	CCNB1;CDK1;CDK5;CDK5R1	inhibitor of CDK1/cyclin B and CDK5/p35 complexes	Enzo Life Sciences	ALX-270-397-M005	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12
BRD-K71781559	425733	BRD-K71781559	66	probe		screening hit	National Cancer Institute Chemotherapeutic Agents Repository		OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1
BRD5468	58566	BRD-K71935468	83	probe		inducer of ROS	Broad Institute of MIT and Harvard		COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC
QW-BI-011	362063	BRD-K72264770	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	Broad Institute of MIT and Harvard		COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1
WZ4002	640366	BRD-K72420232	33	probe	EGFR	inhibitor of EGFR targeting T790M resistance	Selleck	S1173	COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1
BRD1812	418162	BRD-K73261812	66	probe		screening hit	ChemPacific	46704	Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1
purmorphamine	52576	BRD-K73397362	150	probe	SMO	activator of smoothened receptor	Tocris Bioscience;Cayman	10009634;10009634	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
BIRB-796	660412	BRD-K74065929	66	probe	MAPK11;MAPK11;MAPK14	inhibitor of p38 MAPK	Selleck	S1574	Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C
curcumin	28452	BRD-K74148702	170	clinical		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Cayman	81025	COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
UNC0321	635576	BRD-K74236984	33	probe	EHMT2	inhibitor of G9a histone methyltransferase	Cayman	10582	COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCOCCN(C)C)N1CCCN(C)CC1
NSC632839	375594	BRD-K37392901	33	probe	USP13;USP5	inhibitor of ubiquitin isopeptidase			Cc1ccc(cc1)\C=C1\CNC\C(=C/c2ccc(C)cc2)C1=O
pazopanib	640265	BRD-K74514084	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRB	"inhibitor of VEGFRs, c-KIT, and PDGFRB"	Selleck	S1035	CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1
BRD-K75293299	438691	BRD-K75293299	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
alisertib	636711	BRD-K75295174	66	clinical	AURKA;AURKB	inhibitor of aurora kinases A and B	Selleck	S1133	COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O
XL765	660304	BRD-K75308783	66	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of mTOR and PI3K kinase acitivities	Selleck	S1523	COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1
IC-87114	55307	BRD-K75430629	66	probe	PIK3CD	inhibitor of PI3K catalytic subunit delta	Selleck	S1268	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
JW-74	676728	BRD-K75664313	66	probe		inhibitor of WNT signaling	Sigma-Aldrich	SML0227	COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1
omacetaxine mepesuccinate	375219	BRD-K76674262	66	FDA		inhibitor of protein translation by preventing protein elongation	Tocris Bioscience	1416	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
YM-155	417979	BRD-K76703230	1	clinical	BIRC5	inhibitor of survivin expression	Active Biochem	A-1061	COCCn1c2c(C(=O)c3ccccc3C2=O)[n+](Cc2cnccn2)c1C
A-804598	661033	BRD-K76894955	66	probe	P2RX7	inhibitor of purinergic receptor P2X	Tocris Bioscience	4473	C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1
EX-527	608999	BRD-K76964878	80	clinical	SIRT1	inhibitor of sirtuin 1	Selleck	S1541	NC(=O)[C@H]1CCCc2c1[nH]c1ccc(Cl)cc21
vandetanib	349002	BRD-K77625799	66	FDA	EGFR;KDR	inhibitor of VEGFR2 and EGFR	Selleck	S1046	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
entinostat	60218	BRD-K77908580	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Stanley Center for Psychiatric Research at the Broad Institute		Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
LY-2157299	660431	BRD-K78118466	66	probe	TGFBR1	inhibitor of the transforming growth factor beta type 1 receptor	Selleck	S2230	Cc1cccc(n1)-c1nn2CCCc2c1-c1ccnc2ccc(cc12)C(N)=O
crizotinib	628603	BRD-K78431006	66	FDA	ALK;MET	inhibitor of c-MET and ALK	Selleck	S1068	C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl
BRD-K78574327	435898	BRD-K78574327	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O
manumycin A	50727	BRD-K78599730	30	probe	FNTA;FNTB	inhibitor of RAS farnesyltransferase	Sigma-Aldrich	M6418	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
MLN2238	632873	BRD-K78659596	33	clinical	PSMB5	inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site	Selleck	S2180	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
GSK4112	660081	BRD-K78667050	66	probe	NR1D1	antagonist of Rev-ErbAalpha	Tocris Bioscience	3663	CC(C)(C)OC(=O)CN(Cc1ccc(s1)[N+]([O-])=O)Cc1ccc(Cl)cc1
KHS101	660819	BRD-K78978711	66	probe	TACC3	"binder of TACC3, a component of the centrosome and mitotic spindle"	Sigma-Aldrich	K4019	CC(C)CNc1ccnc(NCc2csc(n2)-c2ccccc2)n1
PF-573228	660075	BRD-K79239947	66	probe	PTK2	inhibitor of focal adhesion kinase	Axon Medchem	Axon 1623	CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4NC(=O)CCc4c3)ncc2C(F)(F)F)c1
decitabine	347775	BRD-K79254416	66	FDA	DNMT1	inhibitor of DNA methyltransferase	Selleck	S1200	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
PF-543	660073	BRD-K79877282	33	probe	SPHK1	inhibitor of sphingosine kinase-1	Pfizer		Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1
BRD-K80183349	376307	BRD-K80183349	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
ML203	411816	BRD-K80672993	37	probe	PKM	activator of muscle pyruvate kinase (PKM2)	WuXi AppTec	TH02357-061	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
etomoxir	660082	BRD-K81335284	300	clinical	CPT1A	inhibitor of carnitine palmitoyltransferase	Sigma-Aldrich	E1905	OC(=O)[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1
vorinostat	56554	BRD-K81418486	33	FDA	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"	Toronto Research Chemicals	S688700	ONC(=O)CCCCCCC(=O)Nc1ccccc1
silmitasertib	660421	BRD-K81458380	66	clinical	CSNK2A1;CSNK2A2	inhibitor of casein kinase 2	Selleck	S2248	OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21
tanespimycin	50134	BRD-K81473043	33	clinical	HSP90AA1	inhibitor of HSP90	Tocris Bioscience	1515	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
ML320	659682	BRD-K81491172	66	probe	GSK3B	inhibitor of GSK3 beta	Broad Institute of MIT and Harvard		COc1ccccc1[C@H]1c2c(NC3=C1C(=O)CC(C)(C)C3)n[nH]c2C(F)(F)F
nilotinib	374749	BRD-K81528515	66	FDA	ABL1;BCR;KIT	"inhibitor of ABL1, BCR, and c-KIT"	Selleck	S1033	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F
parthenolide	411792	BRD-K81651477	66	probe		natural product; modulator of ROS; modulator of NF-kappa-B signaling	Tocris Bioscience;Tocris Bioscience	607;0610	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
WZ8040	628614	BRD-K81728688	66	probe	EGFR	inhibitor of EGFR targeting T790M resistance	Selleck	S1179	CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Sc3cccc(NC(=O)C=C)c3)n2)cc1
vincristine	62602	BRD-K82109576	130	FDA		inhibitor of mictrotubule assembly	Selleck	S1241	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
navitoclax	362342	BRD-K82746043	33	clinical	BCL2;BCL2L1;BCL2L2	"inhibitor of BCL2, BCL-xL, and BCL-W"	Selleck	S1001	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
PF-750	411719	BRD-K83213911	270	probe	FAAH	inhibitor of fatty acid amide hydrolase	Cayman	10010908	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
CAY10618	632104	BRD-K83289131	33	probe	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	Cayman	13670	O=C(CCCCCCCn1cc(nn1)-c1cccnc1)Nc1ccccc1-c1ccccc1
PL-DI	609440	BRD-K83336168	66	probe		dimer of piperlongumine; inducer of ROS	Broad Institute of MIT and Harvard		COc1cc(\C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OCCN(C)CCOc1c(OC)cc(\C=C\C(=O)N2CCC=CC2=O)cc1OC
skepinone-L	688799	BRD-K83607951	66	probe	MAPK14	inhibitor of p38 MAPK	Broad Institute of MIT and Harvard		OC[C@@H](O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1
nelarabine	660391	BRD-K84466663	66	FDA	POLA1	deoxyguanosine analog; inhibitor of DNA synthesis	Selleck	S1213	COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
CBB-1007	687721	BRD-K84754008	66	probe	KDM1A	inhibitor of lysine-specific demethylase 1A (LSD1)	Broad Institute of MIT and Harvard		COC(=O)c1cc(CN2CCN(CC2)C(N)=N)cc(c1)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)C(N)=N
BRD-K84807411	437906	BRD-K84807411	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O
sirolimus	56703	BRD-K84937637	33	FDA	MTOR	inhibitor of mTOR	Selleck	S1039	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
spautin-1	657183	BRD-K84964099	66	probe	USP10;USP13	inhibitor of the deubiquitinase activity of USP13 and USP10	Broad Institute of MIT and Harvard		Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1
BRD-K85133207	616408	BRD-K85133207	66	probe	HDAC1	inhibitor of HDAC1	Stanley Center for Psychiatric Research at the Broad Institute		CC(=O)N[C@H]1C[C@H](C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1
neratinib	418038	BRD-K85606544	33	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	WuXi AppTec	HKI-272	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
AZD7762	660777	BRD-K86525559	66	clinical	CHEK1;CHEK2	inhibitor of checkpoint kinases 1 and 2	Selleck	S1532	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1
BRD-K86535717	429535	BRD-K86535717	66	GE-active		product of diversity oriented synthesis	Broad Institute of MIT and Harvard		CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC
BRD4132	3588	BRD-K86574132	160	probe		screening hit	ChemDiv Inc.	4998-1380	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
bafilomycin A1	467037	BRD-K86787118	0.33	probe	ATP6V0A1	inhibitor of the vacuolar-type H+-ATPase	EMD Biosciences	BML-CM110-0100	CO[C@H]1\C=C\C=C(C)\C[C@@H](C)[C@H](O)[C@H](C)\C=C(C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@H]1C[C@@H](O)[C@H](C)[C@H](O1)C(C)C
UNC0638	594665	BRD-K86856088	33	probe	EHMT1;EHMT2	inhibitor of EHMT2 and GLP methyltransferase	Tocris Bioscience	4343	COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
cediranib	606136	BRD-K86930074	66	clinical	FLT1;FLT4;KDR	inhibitor of VEGFRs	Selleck	S1017	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
OSI-027	660433	BRD-K87124298	66	clinical	MTOR	inhibitor of mTORC1 and mTORC2	Selleck	S2624	COc1cccc2cc([nH]c12)-c1nc([C@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12
veliparib	606034	BRD-K87142802	33	clinical	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)	Selleck	S1004	C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O
L-685458	411717	BRD-K87317732	37	probe	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	Sigma-Aldrich	L1790	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
momelotinib	660429	BRD-K87737963	66	clinical	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	Selleck	S2219	O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1
istradefylline	687694	BRD-K87774949	33	clinical	ADORA2A	antagonist of the adenosine A2A receptor	Selleck	S2790	CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O
fingolimod	640157	BRD-K88025533	66	FDA	S1PR1	inhibitor of sphingosine 1-phosphate receptor	Selleck	S5002	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
bortezomib	411737	BRD-K88510285	0.13	FDA	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	Toronto Research Chemicals;Selleck	B675700;S1013	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
CI-976	375390	BRD-K88544581	270	probe	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	Sigma-Aldrich	C3743	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
BRD-K88742110	606670	BRD-K88742110	66	probe	HDAC8	inhibitor of HDAC8	Stanley Center for Psychiatric Research at the Broad Institute		COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1
tandutinib	464458	BRD-K89162000	66	clinical	FLT3;KIT	inhibitor of c-KIT and VEGFR3	Selleck	S1043	COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1
BRD9876	19153	BRD-K89329876	130	probe		screening hit	Sigma-Aldrich	425265	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N
RG-108	411831	BRD-K89391146	270	probe	DNMT1	inhibitor of DNA methyltransferase	Cayman	13302	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
ML006	17712	BRD-K89692698	530	probe	S1PR3	agonist of sphingosine 1-phosphate receptor 3	Enamine Ltd.	Z1037336336	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1
